score,quote,cover,title,rank,comment_num
8.7,小清新的故事里注入了大历史的情怀。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2178872593.jpg,布达佩斯大饭店,95,304363
8.6,约翰尼·德普的独角戏。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1596085504.jpg,加勒比海盗,96,339795
8.6,每个人心中都有一座断背山。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p513535588.jpg,断背山,97,314971
8.7,缘分是个连绵词，最美不过一瞬。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1486234122.jpg,爱在黎明破晓前,98,217339
9.2,大时代中的人生，小人物的悲喜。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173707976.jpg,摩登时代,99,86822
8.7,骗子大师和执著警探的你追我跑故事。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p453924541.jpg,猫鼠游戏,100,219389
8.6,绝对意义上的美轮美奂。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2180085848.jpg,阿凡达,101,523297
8.7,童话世界的开端。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p804947166.jpg,哈利·波特与魔法石,102,248829
8.8,动画片的圣经。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1917567652.jpg,风之谷,103,173987
8.7,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910924055.jpg,爱在日落黄昏时,104,196020
8.8,少女情怀总是诗。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p456692072.jpg,侧耳倾听,105,165519
8.9,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1473670352.jpg,穿条纹睡衣的男孩,106,140236
8.7,幸福是生生不息，却难以触及的远。 ,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1157334208.jpg,萤火虫之墓,107,201232
8.7,年度最佳date movie。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2221768894.jpg,消失的爱人,108,347389
8.8,穷尽一生，我们要学会的，不过是彼此拥抱。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1305562621.jpg,超脱,109,169750
8.7,和谐的生活离不开摸头与被摸头。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p450042258.jpg,驯龙高手,110,280236
8.7,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2498971355.jpg,看不见的客人,111,243831
8.7,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p751835224.jpg,菊次郎的夏天,112,178133
8.6,两张绝世的脸。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2414157745.jpg,倩女幽魂,113,244526
8.6,有时候幸福需要等一等。 ,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p854757687.jpg,幸福终点站,114,222138
9.0,大海啊，不全是水。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p497010372.jpg,海洋,115,98163
8.7,恐怖分子的“秋菊打官司”。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2016930906.jpg,恐怖直播,116,213601
9.2,时代悲歌。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p647099823.jpg,七武士,117,75985
8.6,岁月流逝，来日可追。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p456666151.jpg,岁月神偷,118,303019
8.9,梦的勾结。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p672363704.jpg,红辣椒,119,129401
8.5,Mr. I Don't Care其实也有Care的时候。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792776858.jpg,神偷奶爸,120,367815
8.7,曾经的那段美好会沉淀为一辈子的记忆。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p617533616.jpg,借东西的小人阿莉埃蒂,121,212573
8.6,真相就在眼前。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2163771304.jpg,电锯惊魂,122,195730
8.7,像吃了苏打饼一样干脆的电影。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792223507.jpg,谍影重重3,123,177735
8.6,关于连环杀人悬案的集体回忆。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p480225538.jpg,杀人回忆,124,205691
8.7,传奇，不是每个人都可以拥有。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1023654037.jpg,燃情岁月,125,147173
8.5,爱，是个动词。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p475600770.jpg,真爱至上,126,303350
8.6,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p942376281.jpg,雨人,127,206840
8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p470476887.jpg,贫民窟的百万富翁,128,390708
8.5,一个针管引发的血案。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p641688453.jpg,记忆碎片,129,274438
8.6,电影诗。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1982176012.jpg,东邪西毒,130,245019
8.9,永远看不腻的喜剧。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2399597512.jpg,虎口脱险,131,105324
8.7,老少皆宜，这就是好莱坞动画的魅力。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1867084027.jpg,疯狂原始人,132,363517
8.6,不要给它起名字，起了名字就有感情了。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1805127697.jpg,怪兽电力公司,133,233886
8.8,中国家庭的喜怒哀乐忍。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173713676.jpg,喜宴,134,135902
8.9,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2221319641.jpg,小森林 夏秋篇,135,124067
8.8,当这个世界闭上双眼，他却敞开了怀抱。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2159368352.jpg,卢旺达饭店,136,116697
8.5,我是一个演员。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1043597424.jpg,喜剧之王,137,303280
8.5,黑暗之美。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p719282906.jpg,黑天鹅,138,409207
8.7,英雄泪短，兄弟情长。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2157672975.jpg,英雄本色,139,146556
8.5,不可猜的青春迷笛。 ,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p513567548.jpg,猜火车,140,244738
